created_at,total_pushes,total_pull_requests,total_comments,total_issues,follows,gists,watches
2013-07-29,510147,28092,68194,24265,4712,6855,53364
2013-07-30,537251,29803,68365,24015,4794,7308,51538
2013-07-31,536619,29561,72110,24525,4636,7417,50418
2013-08-01,517150,28933,68670,23097,6606,7200,52782
2013-08-02,431729,23755,59283,19987,7200,6057,44769
2013-08-03,147052,4314,16203,7697,5120,3045,19325
2013-08-04,186659,6345,21393,9383,3375,3814,16284
2013-08-05,497442,26848,69732,25722,4547,7387,54870
2013-08-06,538658,29624,67958,24531,5065,7921,52556
2013-08-07,546001,30152,70672,25750,6331,8932,55999
2013-08-08,521989,28439,67961,24065,7904,8173,48141
2013-08-09,431542,23295,54414,20106,6760,6645,42543
2013-08-10,147846,4528,17639,8492,6094,3572,19614
2013-08-11,188721,6647,21555,10098,6365,4138,18641
2013-08-12,514603,28181,67733,24768,7691,8004,56730
2013-08-13,548937,30174,69384,23762,8522,8385,55198
2013-08-14,545937,30513,67605,23389,7586,8727,55404
2013-08-15,480055,27379,59862,21507,6691,7777,44388
2013-08-16,429950,23430,53412,19258,6833,6564,45975
2013-08-17,158974,4781,18277,8168,5705,3827,19054
2013-08-18,204648,7035,25339,12129,6113,5309,18460
2013-08-19,529663,28939,69691,24708,7956,10186,61066
2013-08-20,547967,30609,70102,25271,7337,11791,55999
2013-08-21,555344,31151,70703,25718,7495,11498,52902
2013-08-22,544411,30337,69384,24569,7386,10969,51949
2013-08-23,458788,24733,55032,19495,6641,9035,45623
2013-08-24,159858,5008,18118,8596,5544,5181,19537
2013-08-25,201339,6783,22654,10589,5832,5598,18161
2013-08-26,511482,28153,66522,23826,7209,10442,57509
2013-08-27,572987,31816,75300,25991,7527,11046,62133
2013-08-28,566832,31960,71488,26861,6796,10633,57351
2013-08-29,559486,31563,70624,25572,6644,10583,52842
2013-08-30,451063,24622,55441,19739,4399,8428,48106
2013-08-31,154708,5018,17212,8284,2616,5407,17384
2013-09-01,194170,6670,22426,10232,2975,6453,17469
2013-09-02,392725,18506,46583,19005,4254,9427,40547
2013-09-03,562519,30635,72703,25638,5517,11558,70420
2013-09-04,574213,31576,73506,25316,5463,11696,64779
2013-09-05,562305,31460,70446,24070,4953,12117,58534
2013-09-06,489389,26363,58844,20373,4577,11750,49971
2013-09-07,178651,5442,25008,10170,2686,8349,20349
2013-09-08,223360,7826,29192,12095,3344,8871,20070
2013-09-09,564852,31183,85733,26438,4802,12229,66517
2013-09-10,587763,32474,76683,27278,5078,12966,57906
2013-09-11,593236,33462,75889,26023,5104,12258,58006
2013-09-12,627026,33425,72407,26400,5051,12388,54870
2013-09-13,566848,26556,59675,21157,4304,10874,49778
2013-09-14,168411,5498,26650,11540,3025,8434,19503
2013-09-15,217861,7549,24574,11582,4833,8141,19850
2013-09-16,560185,31658,73759,25894,7507,12092,63651
2013-09-17,583097,33181,74229,25076,7699,13133,61246
2013-09-18,567709,32304,73663,25409,6875,12828,60740
2013-09-19,557120,31807,70057,24936,6929,12609,64217
2013-09-20,481519,27047,60419,21027,6836,12537,50275
2013-09-21,174656,5620,18956,10047,6367,8654,21776
2013-09-22,215973,7507,23918,11659,6741,9063,22650
2013-09-23,566975,31912,74359,26374,8028,12569,64394
2013-09-24,599059,34249,80350,28134,8020,13339,62950
2013-09-25,597769,34196,77597,26147,8141,13294,59271
2013-09-26,588158,33768,74652,25578,8043,12947,56900
2013-09-27,501456,28117,64095,23373,7516,13029,50870
2013-09-28,181380,5826,19416,9661,6395,9872,23391
2013-09-29,232598,8075,24244,12055,6929,9464,22618
2013-09-30,587797,32843,76218,30562,7792,13323,69786
2013-10-01,596840,33609,82710,26979,5715,13667,66940
2013-10-02,589837,34164,80472,26439,4652,14306,60871
2013-10-03,574802,31974,75703,30211,4458,14221,56333
2013-10-04,528029,27908,60967,25930,4112,14060,53349
2013-10-05,194643,5717,19382,8975,3146,11755,25459
2013-10-06,240503,7853,24123,10859,3328,11918,20647
2013-10-07,596050,33675,77970,31739,4786,15461,69849
2013-10-08,617538,35491,79552,26576,5612,14905,68915
2013-10-09,618077,35562,79866,27232,5920,15235,62821
2013-10-10,613124,35021,82908,26082,5489,14797,64112
2013-10-11,517433,29470,72605,23233,4864,14515,52376
2013-10-12,179586,5996,19579,9532,3414,11151,23086
2013-10-13,225419,7856,25132,11012,3546,11695,20177
2013-10-14,550124,30501,72228,25833,5051,14257,61992
2013-10-15,616914,35236,81687,27358,6230,14392,67001
2013-10-16,624990,36166,82987,31153,5780,14765,63066
2013-10-17,623575,35550,81653,27763,5362,15381,67970
2013-10-18,528190,29870,67194,23519,6548,13408,53917
2013-10-19,202572,6655,20927,9948,3947,11863,25016
2013-10-20,268849,9186,27556,12733,4251,11689,25360
2013-10-21,643642,36272,82738,28726,6148,13943,73559
2013-10-22,647334,36406,98833,31588,5631,14794,65159
2013-10-23,642067,36648,83744,29532,5572,15993,65683
2013-10-24,629283,36523,96715,31501,5796,15234,65746
2013-10-25,537712,30252,69494,24668,5298,13303,59361
2013-10-26,194039,6554,21374,11615,3691,10645,22945
2013-10-27,246643,8966,27074,13469,3834,11676,22657
2013-10-28,636116,36009,87415,29984,6378,15201,69474
2013-10-29,660817,37860,84197,28945,6623,15304,66710
2013-10-30,660876,38360,86426,29653,6553,14476,65379
2013-10-31,623772,35503,82352,28038,5492,13983,59866
2013-11-01,494466,28253,64121,22648,5951,12223,57575
2013-11-02,191468,6467,21053,10432,5015,9267,22299
2013-11-03,254609,8733,27619,12827,4550,9820,23392
2013-11-04,616079,34954,82138,29840,5445,13270,75903
2013-11-05,664184,38877,86410,30940,5827,14397,70877
2013-11-06,662520,38395,86149,30492,7344,15640,71210
2013-11-07,653521,37904,86185,28691,6382,14180,69279
2013-11-08,550044,31417,73597,26288,6067,12690,58965
2013-11-09,218214,7188,23211,11151,4253,10248,25297
2013-11-10,272705,9935,32534,15313,6466,12184,22084
2013-11-11,619506,35402,88426,31624,6482,14934,68456
2013-11-12,676320,39290,97358,32675,10430,15433,69529
2013-11-13,676243,39338,89167,31215,6489,15003,69838
2013-11-14,670289,38424,85130,30906,6156,14948,66095
2013-11-15,550897,31346,67501,23583,5191,14154,61444
2013-11-16,210760,6810,22002,11027,3821,11423,25279
2013-11-17,281048,10240,34748,15342,3926,11781,24370
2013-11-18,670266,38534,88483,31863,6160,15342,75418
2013-11-19,696720,40805,91555,31962,5929,15137,72589
2013-11-20,686127,39595,89725,31275,6676,15717,70659
2013-11-21,675625,39513,86314,31232,5929,16178,74948
2013-11-22,564663,32170,70218,24452,4679,13289,58943
2013-11-23,211646,6622,22157,10799,3543,10806,24501
2013-11-24,277528,10465,31607,13946,3855,11497,23251
2013-11-25,668066,38171,88302,30622,4929,15287,73379
2013-11-26,684546,38790,90382,32511,5405,15856,69635
2013-11-27,620868,34340,76651,26121,6283,15169,66244
2013-11-28,462907,23454,53222,19255,4368,12946,43561
2013-11-29,405188,19834,45768,17411,3879,12721,41336
2013-11-30,195410,6168,20900,9546,3317,12486,22095
2013-12-01,265816,9648,29980,13868,3648,15997,22782
2013-12-02,662507,38129,87958,30576,5265,17759,84189
2013-12-03,703469,41006,93541,31366,5571,16928,74074
2013-12-04,702594,40605,89760,30363,5887,16589,71770
2013-12-05,681590,39795,88999,29794,6155,17090,71365
2013-12-06,562159,32761,78078,25070,4638,17209,61772
2013-12-07,214743,7058,26083,10606,3519,15315,25413
2013-12-08,285996,10431,32323,13612,4108,13625,23030
2013-12-09,681209,39797,93046,32841,6313,16954,71095
2013-12-10,701789,40958,93180,30747,5770,18134,72167
2013-12-11,683652,39975,92615,30360,5639,16572,71474
2013-12-12,669034,39292,87169,28388,5045,15272,69390
2013-12-13,553782,31854,68679,23252,4657,14614,64040
2013-12-14,203571,6614,37006,12621,3486,12916,23273
2013-12-15,266846,9974,41547,16528,3411,12795,22032
2013-12-16,661093,39127,88256,30942,6891,15951,73802
